fid,id,context,species_orig_pub,taxon,cf_genus,cf_sp,cf_subsp,s_type,s_foss,s_part,frr,sample_number,quantity,entity,weight_g,s_notes,AMS,discovery_report,bibliography,context_id,taxon_id,new_taxon_id,photo,qt,precise_taxon,Family,genus,specie,note
"13","6127",Vessel B ,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0","1",,,,,,"Kodýdková, K.,_Beneš, J.,_Komárková, V.,_Paclíková, K._2013_Pilot archaeobotanical analysis of the sediment the well 112 in Pyrgi, Santa Severa_Archaeologia maritima mediterranea: International Journal on Underwater Archaeology: 10, 2013_181-190","756","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"14","6128",Vessel B ,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,unspecified,true,"0","2",,,,,,"Kodýdková, K.,_Beneš, J.,_Komárková, V.,_Paclíková, K._2013_Pilot archaeobotanical analysis of the sediment the well 112 in Pyrgi, Santa Severa_Archaeologia maritima mediterranea: International Journal on Underwater Archaeology: 10, 2013_181-190","756","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"22","6203","saggio F, US 525B",vite,Vitis vinifera L.,false,false,false,carpological,charring,pip,false,,,,,"l'analisi stratigrafica puntuale dell'US 525 evidenzia più livelli di fuoco nella tessa US. verosimilmente nell'area si saranno svolti più eventi di combustione controllata (preparazione alimentare), a cui ha fatto seguito un incendio che ha decretato la conclusione dell'utilizzo di questo spazio. ",,excavation campaigns 2007,"Carra, M._2010_Il contributo dell’Archeobotanica: analisi paleocarpologica preliminare del saggio F_Archeologia nella Valle del Cesano da Suasa a Santa Maria in Portuno. Atti del Convegno per i venti anni di ricerche dell’Università di Bologna (Castelleone di Suasa, Corinaldo, San Lorenzo in Campo 18-19 Dicembre 2008)_Ante Quem_491-495","758","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"45","43",room D - D 18,cf. Olea europaea,Olea europaea L.,true,true,true,carpological,charring,endocarp,false,"0","1",,,,,"1984","Costantini, L.,_Costantini Biasini, L._2007_Economia agricola del Lazio a sud del Tevere tra Bronzo antico e Bronzo medio_Atti della XL riunione scientifica Istituto Italiano di Preistoria e Protostoria_ 787-801","433","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"46","44",Drain fill - E142,cf. Olea europaea,Olea europaea L.,true,true,true,carpological,charring,endocarp,false,"0","1",,,,,,"Giorgi, J. A.,_Potter, T. W._King, A. C.,_1997_The charred plant remains_Excavations at the Mola di Monte Gelato, 11_407-411","563","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"138","6197",via Cavallotti 24 - First Roman phase,vite,Vitis vinifera L.,false,false,false,carpological,Unspecified,remain,false,,,,,,,excavation campaigns 2010,"Lepore, G.,_Ciuccarelli, M. R.,_Assenti, G.,_Belfiori, F.,_Boschi, F.,_Carra, M.,_Visani, F._2012_Progetto “archeologia urbana a Senigallia” I: le ricerche di via Cavallotti_FOLD&R_248, 1-19","93","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"139","6198",via Cavallotti 24- Second Roman phase,vite,Vitis vinifera L.,false,false,false,carpological,Unspecified,remain,false,,,,,,,excavation campaigns 2010,"Lepore, G.,_Ciuccarelli, M. R.,_Assenti, G.,_Belfiori, F.,_Boschi, F.,_Carra, M.,_Visani, F._2012_Progetto “archeologia urbana a Senigallia” I: le ricerche di via Cavallotti_FOLD&R_248, 1-19","94","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"142","6199",via Cavallotti 24 - Third Roman phase,vite,Vitis vinifera L.,false,false,false,carpological,Unspecified,remain,false,,,,,spoliation pits of the structure USM 30 ,,excavation campaigns 2010,"Lepore, G.,_Ciuccarelli, M. R.,_Assenti, G.,_Belfiori, F.,_Boschi, F.,_Carra, M.,_Visani, F._2012_Progetto “archeologia urbana a Senigallia” I: le ricerche di via Cavallotti_FOLD&R_248, 1-19","95","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"1942","2580",Palatine SW - undet. (Roma Fori Imperiali),Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0",,1-10,,,,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248","264","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"1957","2581",S. Omobono - undet. (Roma Fori Imperiali),Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0",> 50 ,> 50 ,,,,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248","277","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
